PING 10.0.2.22 (10.0.2.22) 56(84) bytes of data.
64 bytes from 10.0.2.22: icmp_seq=401 ttl=63 time=9288 ms
64 bytes from 10.0.2.22: icmp_seq=402 ttl=63 time=9184 ms
64 bytes from 10.0.2.22: icmp_seq=403 ttl=63 time=9081 ms
64 bytes from 10.0.2.22: icmp_seq=404 ttl=63 time=8976 ms
64 bytes from 10.0.2.22: icmp_seq=405 ttl=63 time=8872 ms
64 bytes from 10.0.2.22: icmp_seq=406 ttl=63 time=8768 ms
64 bytes from 10.0.2.22: icmp_seq=407 ttl=63 time=8664 ms
64 bytes from 10.0.2.22: icmp_seq=408 ttl=63 time=8561 ms
64 bytes from 10.0.2.22: icmp_seq=409 ttl=63 time=8456 ms
64 bytes from 10.0.2.22: icmp_seq=410 ttl=63 time=8352 ms
64 bytes from 10.0.2.22: icmp_seq=411 ttl=63 time=8248 ms
64 bytes from 10.0.2.22: icmp_seq=412 ttl=63 time=8145 ms
64 bytes from 10.0.2.22: icmp_seq=413 ttl=63 time=8041 ms
64 bytes from 10.0.2.22: icmp_seq=414 ttl=63 time=7937 ms
64 bytes from 10.0.2.22: icmp_seq=415 ttl=63 time=7833 ms
64 bytes from 10.0.2.22: icmp_seq=416 ttl=63 time=7729 ms
64 bytes from 10.0.2.22: icmp_seq=417 ttl=63 time=7625 ms
64 bytes from 10.0.2.22: icmp_seq=418 ttl=63 time=7520 ms
64 bytes from 10.0.2.22: icmp_seq=419 ttl=63 time=7417 ms
64 bytes from 10.0.2.22: icmp_seq=420 ttl=63 time=7313 ms
64 bytes from 10.0.2.22: icmp_seq=421 ttl=63 time=7209 ms
64 bytes from 10.0.2.22: icmp_seq=422 ttl=63 time=7105 ms
64 bytes from 10.0.2.22: icmp_seq=423 ttl=63 time=7001 ms
64 bytes from 10.0.2.22: icmp_seq=424 ttl=63 time=6897 ms
64 bytes from 10.0.2.22: icmp_seq=425 ttl=63 time=6793 ms
64 bytes from 10.0.2.22: icmp_seq=426 ttl=63 time=6688 ms
64 bytes from 10.0.2.22: icmp_seq=427 ttl=63 time=6585 ms
64 bytes from 10.0.2.22: icmp_seq=428 ttl=63 time=6481 ms
64 bytes from 10.0.2.22: icmp_seq=429 ttl=63 time=6377 ms
64 bytes from 10.0.2.22: icmp_seq=430 ttl=63 time=6273 ms
64 bytes from 10.0.2.22: icmp_seq=431 ttl=63 time=6169 ms
64 bytes from 10.0.2.22: icmp_seq=432 ttl=63 time=6065 ms
64 bytes from 10.0.2.22: icmp_seq=433 ttl=63 time=5961 ms
64 bytes from 10.0.2.22: icmp_seq=434 ttl=63 time=5857 ms
64 bytes from 10.0.2.22: icmp_seq=435 ttl=63 time=5753 ms
64 bytes from 10.0.2.22: icmp_seq=436 ttl=63 time=5649 ms
64 bytes from 10.0.2.22: icmp_seq=437 ttl=63 time=5545 ms
64 bytes from 10.0.2.22: icmp_seq=438 ttl=63 time=5441 ms
64 bytes from 10.0.2.22: icmp_seq=439 ttl=63 time=5337 ms
64 bytes from 10.0.2.22: icmp_seq=440 ttl=63 time=5234 ms
64 bytes from 10.0.2.22: icmp_seq=441 ttl=63 time=5130 ms
64 bytes from 10.0.2.22: icmp_seq=442 ttl=63 time=5025 ms
64 bytes from 10.0.2.22: icmp_seq=443 ttl=63 time=4922 ms
64 bytes from 10.0.2.22: icmp_seq=444 ttl=63 time=4816 ms
64 bytes from 10.0.2.22: icmp_seq=445 ttl=63 time=4713 ms
64 bytes from 10.0.2.22: icmp_seq=446 ttl=63 time=4609 ms
64 bytes from 10.0.2.22: icmp_seq=447 ttl=63 time=4506 ms
