PING 10.0.2.22 (10.0.2.22) 56(84) bytes of data.
64 bytes from 10.0.2.22: icmp_seq=113 ttl=63 time=720 ms
64 bytes from 10.0.2.22: icmp_seq=114 ttl=63 time=663 ms
64 bytes from 10.0.2.22: icmp_seq=115 ttl=63 time=611 ms
64 bytes from 10.0.2.22: icmp_seq=116 ttl=63 time=561 ms
64 bytes from 10.0.2.22: icmp_seq=117 ttl=63 time=505 ms
64 bytes from 10.0.2.22: icmp_seq=118 ttl=63 time=469 ms
64 bytes from 10.0.2.22: icmp_seq=119 ttl=63 time=448 ms
64 bytes from 10.0.2.22: icmp_seq=120 ttl=63 time=449 ms
64 bytes from 10.0.2.22: icmp_seq=121 ttl=63 time=448 ms
64 bytes from 10.0.2.22: icmp_seq=122 ttl=63 time=446 ms
64 bytes from 10.0.2.22: icmp_seq=123 ttl=63 time=447 ms
64 bytes from 10.0.2.22: icmp_seq=124 ttl=63 time=446 ms
64 bytes from 10.0.2.22: icmp_seq=125 ttl=63 time=446 ms
64 bytes from 10.0.2.22: icmp_seq=126 ttl=63 time=447 ms
64 bytes from 10.0.2.22: icmp_seq=127 ttl=63 time=450 ms
64 bytes from 10.0.2.22: icmp_seq=128 ttl=63 time=448 ms
64 bytes from 10.0.2.22: icmp_seq=129 ttl=63 time=452 ms
64 bytes from 10.0.2.22: icmp_seq=130 ttl=63 time=454 ms
64 bytes from 10.0.2.22: icmp_seq=131 ttl=63 time=457 ms
64 bytes from 10.0.2.22: icmp_seq=132 ttl=63 time=456 ms
64 bytes from 10.0.2.22: icmp_seq=133 ttl=63 time=461 ms
64 bytes from 10.0.2.22: icmp_seq=134 ttl=63 time=452 ms
64 bytes from 10.0.2.22: icmp_seq=135 ttl=63 time=453 ms
64 bytes from 10.0.2.22: icmp_seq=136 ttl=63 time=456 ms
64 bytes from 10.0.2.22: icmp_seq=137 ttl=63 time=450 ms
64 bytes from 10.0.2.22: icmp_seq=138 ttl=63 time=450 ms
64 bytes from 10.0.2.22: icmp_seq=139 ttl=63 time=450 ms
64 bytes from 10.0.2.22: icmp_seq=140 ttl=63 time=450 ms
64 bytes from 10.0.2.22: icmp_seq=141 ttl=63 time=450 ms
64 bytes from 10.0.2.22: icmp_seq=142 ttl=63 time=451 ms
64 bytes from 10.0.2.22: icmp_seq=143 ttl=63 time=450 ms
64 bytes from 10.0.2.22: icmp_seq=144 ttl=63 time=451 ms
64 bytes from 10.0.2.22: icmp_seq=145 ttl=63 time=452 ms
64 bytes from 10.0.2.22: icmp_seq=146 ttl=63 time=454 ms
64 bytes from 10.0.2.22: icmp_seq=147 ttl=63 time=455 ms
64 bytes from 10.0.2.22: icmp_seq=148 ttl=63 time=455 ms
64 bytes from 10.0.2.22: icmp_seq=149 ttl=63 time=454 ms
64 bytes from 10.0.2.22: icmp_seq=150 ttl=63 time=453 ms
64 bytes from 10.0.2.22: icmp_seq=151 ttl=63 time=468 ms
64 bytes from 10.0.2.22: icmp_seq=152 ttl=63 time=468 ms
64 bytes from 10.0.2.22: icmp_seq=153 ttl=63 time=467 ms
64 bytes from 10.0.2.22: icmp_seq=154 ttl=63 time=469 ms
64 bytes from 10.0.2.22: icmp_seq=155 ttl=63 time=456 ms
64 bytes from 10.0.2.22: icmp_seq=156 ttl=63 time=454 ms
64 bytes from 10.0.2.22: icmp_seq=157 ttl=63 time=453 ms
64 bytes from 10.0.2.22: icmp_seq=158 ttl=63 time=456 ms
64 bytes from 10.0.2.22: icmp_seq=159 ttl=63 time=458 ms
64 bytes from 10.0.2.22: icmp_seq=160 ttl=63 time=458 ms
64 bytes from 10.0.2.22: icmp_seq=161 ttl=63 time=456 ms
64 bytes from 10.0.2.22: icmp_seq=162 ttl=63 time=455 ms
64 bytes from 10.0.2.22: icmp_seq=163 ttl=63 time=457 ms
64 bytes from 10.0.2.22: icmp_seq=164 ttl=63 time=458 ms
64 bytes from 10.0.2.22: icmp_seq=165 ttl=63 time=464 ms
64 bytes from 10.0.2.22: icmp_seq=166 ttl=63 time=467 ms
64 bytes from 10.0.2.22: icmp_seq=167 ttl=63 time=471 ms
64 bytes from 10.0.2.22: icmp_seq=168 ttl=63 time=488 ms
64 bytes from 10.0.2.22: icmp_seq=169 ttl=63 time=489 ms
64 bytes from 10.0.2.22: icmp_seq=170 ttl=63 time=484 ms
64 bytes from 10.0.2.22: icmp_seq=171 ttl=63 time=492 ms
64 bytes from 10.0.2.22: icmp_seq=172 ttl=63 time=481 ms
64 bytes from 10.0.2.22: icmp_seq=173 ttl=63 time=480 ms
64 bytes from 10.0.2.22: icmp_seq=174 ttl=63 time=481 ms
64 bytes from 10.0.2.22: icmp_seq=175 ttl=63 time=481 ms
64 bytes from 10.0.2.22: icmp_seq=176 ttl=63 time=469 ms
64 bytes from 10.0.2.22: icmp_seq=177 ttl=63 time=469 ms
64 bytes from 10.0.2.22: icmp_seq=178 ttl=63 time=469 ms
64 bytes from 10.0.2.22: icmp_seq=179 ttl=63 time=469 ms
64 bytes from 10.0.2.22: icmp_seq=180 ttl=63 time=459 ms
64 bytes from 10.0.2.22: icmp_seq=181 ttl=63 time=463 ms
64 bytes from 10.0.2.22: icmp_seq=182 ttl=63 time=465 ms
64 bytes from 10.0.2.22: icmp_seq=183 ttl=63 time=494 ms
64 bytes from 10.0.2.22: icmp_seq=184 ttl=63 time=494 ms
64 bytes from 10.0.2.22: icmp_seq=185 ttl=63 time=492 ms
