PING 10.0.2.22 (10.0.2.22) 56(84) bytes of data.
64 bytes from 10.0.2.22: icmp_seq=38 ttl=63 time=20.8 ms
64 bytes from 10.0.2.22: icmp_seq=39 ttl=63 time=18.2 ms
64 bytes from 10.0.2.22: icmp_seq=40 ttl=63 time=18.9 ms
64 bytes from 10.0.2.22: icmp_seq=41 ttl=63 time=20.1 ms
64 bytes from 10.0.2.22: icmp_seq=42 ttl=63 time=22.9 ms
64 bytes from 10.0.2.22: icmp_seq=43 ttl=63 time=23.1 ms
64 bytes from 10.0.2.22: icmp_seq=44 ttl=63 time=18.9 ms
64 bytes from 10.0.2.22: icmp_seq=45 ttl=63 time=19.3 ms
64 bytes from 10.0.2.22: icmp_seq=46 ttl=63 time=19.5 ms
64 bytes from 10.0.2.22: icmp_seq=47 ttl=63 time=19.6 ms
64 bytes from 10.0.2.22: icmp_seq=48 ttl=63 time=21.3 ms
64 bytes from 10.0.2.22: icmp_seq=49 ttl=63 time=17.1 ms
64 bytes from 10.0.2.22: icmp_seq=50 ttl=63 time=19.1 ms
64 bytes from 10.0.2.22: icmp_seq=51 ttl=63 time=19.0 ms
64 bytes from 10.0.2.22: icmp_seq=52 ttl=63 time=18.3 ms
64 bytes from 10.0.2.22: icmp_seq=53 ttl=63 time=16.9 ms
64 bytes from 10.0.2.22: icmp_seq=54 ttl=63 time=18.1 ms
64 bytes from 10.0.2.22: icmp_seq=55 ttl=63 time=18.2 ms
64 bytes from 10.0.2.22: icmp_seq=56 ttl=63 time=20.0 ms
64 bytes from 10.0.2.22: icmp_seq=57 ttl=63 time=21.7 ms
64 bytes from 10.0.2.22: icmp_seq=58 ttl=63 time=17.6 ms
64 bytes from 10.0.2.22: icmp_seq=59 ttl=63 time=17.5 ms
64 bytes from 10.0.2.22: icmp_seq=60 ttl=63 time=17.6 ms
64 bytes from 10.0.2.22: icmp_seq=61 ttl=63 time=23.3 ms
64 bytes from 10.0.2.22: icmp_seq=62 ttl=63 time=17.8 ms
64 bytes from 10.0.2.22: icmp_seq=63 ttl=63 time=20.6 ms
64 bytes from 10.0.2.22: icmp_seq=64 ttl=63 time=22.2 ms
64 bytes from 10.0.2.22: icmp_seq=65 ttl=63 time=17.5 ms
64 bytes from 10.0.2.22: icmp_seq=66 ttl=63 time=19.5 ms
64 bytes from 10.0.2.22: icmp_seq=67 ttl=63 time=20.6 ms
64 bytes from 10.0.2.22: icmp_seq=68 ttl=63 time=22.0 ms
64 bytes from 10.0.2.22: icmp_seq=69 ttl=63 time=19.3 ms
64 bytes from 10.0.2.22: icmp_seq=70 ttl=63 time=22.1 ms
64 bytes from 10.0.2.22: icmp_seq=71 ttl=63 time=17.8 ms
64 bytes from 10.0.2.22: icmp_seq=72 ttl=63 time=19.7 ms
64 bytes from 10.0.2.22: icmp_seq=73 ttl=63 time=21.6 ms
64 bytes from 10.0.2.22: icmp_seq=74 ttl=63 time=17.5 ms
64 bytes from 10.0.2.22: icmp_seq=75 ttl=63 time=22.0 ms
64 bytes from 10.0.2.22: icmp_seq=76 ttl=63 time=18.0 ms
64 bytes from 10.0.2.22: icmp_seq=77 ttl=63 time=21.8 ms
64 bytes from 10.0.2.22: icmp_seq=78 ttl=63 time=19.0 ms
64 bytes from 10.0.2.22: icmp_seq=79 ttl=63 time=19.0 ms
64 bytes from 10.0.2.22: icmp_seq=80 ttl=63 time=19.5 ms
64 bytes from 10.0.2.22: icmp_seq=81 ttl=63 time=20.2 ms
64 bytes from 10.0.2.22: icmp_seq=82 ttl=63 time=21.6 ms
64 bytes from 10.0.2.22: icmp_seq=83 ttl=63 time=21.7 ms
64 bytes from 10.0.2.22: icmp_seq=84 ttl=63 time=22.5 ms
64 bytes from 10.0.2.22: icmp_seq=85 ttl=63 time=16.9 ms
64 bytes from 10.0.2.22: icmp_seq=86 ttl=63 time=19.7 ms
64 bytes from 10.0.2.22: icmp_seq=87 ttl=63 time=22.4 ms
64 bytes from 10.0.2.22: icmp_seq=88 ttl=63 time=16.4 ms
64 bytes from 10.0.2.22: icmp_seq=89 ttl=63 time=17.7 ms
64 bytes from 10.0.2.22: icmp_seq=90 ttl=63 time=18.4 ms
64 bytes from 10.0.2.22: icmp_seq=91 ttl=63 time=19.6 ms
64 bytes from 10.0.2.22: icmp_seq=92 ttl=63 time=21.0 ms
64 bytes from 10.0.2.22: icmp_seq=93 ttl=63 time=20.5 ms
64 bytes from 10.0.2.22: icmp_seq=94 ttl=63 time=22.8 ms
64 bytes from 10.0.2.22: icmp_seq=95 ttl=63 time=18.8 ms
64 bytes from 10.0.2.22: icmp_seq=96 ttl=63 time=20.5 ms
64 bytes from 10.0.2.22: icmp_seq=97 ttl=63 time=22.9 ms
64 bytes from 10.0.2.22: icmp_seq=98 ttl=63 time=20.1 ms
64 bytes from 10.0.2.22: icmp_seq=99 ttl=63 time=20.0 ms
64 bytes from 10.0.2.22: icmp_seq=100 ttl=63 time=70.8 ms
64 bytes from 10.0.2.22: icmp_seq=101 ttl=63 time=401 ms
64 bytes from 10.0.2.22: icmp_seq=102 ttl=63 time=387 ms
64 bytes from 10.0.2.22: icmp_seq=103 ttl=63 time=331 ms
64 bytes from 10.0.2.22: icmp_seq=104 ttl=63 time=294 ms
64 bytes from 10.0.2.22: icmp_seq=105 ttl=63 time=272 ms
64 bytes from 10.0.2.22: icmp_seq=106 ttl=63 time=291 ms
64 bytes from 10.0.2.22: icmp_seq=107 ttl=63 time=279 ms
64 bytes from 10.0.2.22: icmp_seq=108 ttl=63 time=261 ms
64 bytes from 10.0.2.22: icmp_seq=110 ttl=63 time=281 ms
64 bytes from 10.0.2.22: icmp_seq=111 ttl=63 time=268 ms
64 bytes from 10.0.2.22: icmp_seq=112 ttl=63 time=259 ms
64 bytes from 10.0.2.22: icmp_seq=113 ttl=63 time=247 ms
64 bytes from 10.0.2.22: icmp_seq=114 ttl=63 time=208 ms
64 bytes from 10.0.2.22: icmp_seq=115 ttl=63 time=151 ms
64 bytes from 10.0.2.22: icmp_seq=116 ttl=63 time=138 ms
64 bytes from 10.0.2.22: icmp_seq=117 ttl=63 time=143 ms
64 bytes from 10.0.2.22: icmp_seq=119 ttl=63 time=140 ms
64 bytes from 10.0.2.22: icmp_seq=120 ttl=63 time=132 ms
64 bytes from 10.0.2.22: icmp_seq=121 ttl=63 time=77.4 ms
64 bytes from 10.0.2.22: icmp_seq=123 ttl=63 time=38.3 ms
64 bytes from 10.0.2.22: icmp_seq=124 ttl=63 time=16.5 ms
64 bytes from 10.0.2.22: icmp_seq=125 ttl=63 time=10.4 ms
64 bytes from 10.0.2.22: icmp_seq=126 ttl=63 time=7.42 ms
64 bytes from 10.0.2.22: icmp_seq=127 ttl=63 time=16.1 ms
64 bytes from 10.0.2.22: icmp_seq=128 ttl=63 time=10.8 ms
64 bytes from 10.0.2.22: icmp_seq=129 ttl=63 time=10.9 ms
64 bytes from 10.0.2.22: icmp_seq=130 ttl=63 time=13.5 ms
64 bytes from 10.0.2.22: icmp_seq=131 ttl=63 time=11.7 ms
64 bytes from 10.0.2.22: icmp_seq=132 ttl=63 time=9.26 ms
64 bytes from 10.0.2.22: icmp_seq=133 ttl=63 time=16.6 ms
64 bytes from 10.0.2.22: icmp_seq=134 ttl=63 time=8.67 ms
64 bytes from 10.0.2.22: icmp_seq=135 ttl=63 time=15.0 ms
64 bytes from 10.0.2.22: icmp_seq=136 ttl=63 time=14.9 ms
64 bytes from 10.0.2.22: icmp_seq=137 ttl=63 time=9.31 ms
64 bytes from 10.0.2.22: icmp_seq=138 ttl=63 time=16.1 ms
64 bytes from 10.0.2.22: icmp_seq=139 ttl=63 time=12.5 ms
64 bytes from 10.0.2.22: icmp_seq=140 ttl=63 time=9.29 ms
64 bytes from 10.0.2.22: icmp_seq=141 ttl=63 time=11.0 ms
64 bytes from 10.0.2.22: icmp_seq=142 ttl=63 time=14.3 ms
64 bytes from 10.0.2.22: icmp_seq=143 ttl=63 time=10.6 ms
64 bytes from 10.0.2.22: icmp_seq=144 ttl=63 time=13.8 ms
64 bytes from 10.0.2.22: icmp_seq=145 ttl=63 time=11.6 ms
64 bytes from 10.0.2.22: icmp_seq=146 ttl=63 time=10.6 ms
64 bytes from 10.0.2.22: icmp_seq=147 ttl=63 time=18.0 ms
64 bytes from 10.0.2.22: icmp_seq=148 ttl=63 time=10.8 ms
64 bytes from 10.0.2.22: icmp_seq=149 ttl=63 time=16.8 ms
64 bytes from 10.0.2.22: icmp_seq=150 ttl=63 time=15.8 ms
64 bytes from 10.0.2.22: icmp_seq=151 ttl=63 time=8.78 ms
64 bytes from 10.0.2.22: icmp_seq=152 ttl=63 time=10.6 ms
64 bytes from 10.0.2.22: icmp_seq=153 ttl=63 time=8.80 ms
